Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
4102430061395,BITBURGER NON ALCOHOLIC BEER 500ML, Household,Tin,5,6,5, No Tax, exclusive,,,,,,,,
6001085002150,BLUE BAND ORIGINAL 250G, Household,Tin,3,5,5, No Tax, exclusive,,,,,,,,
6001085002167,BLUE BAND ORIGINAL 450G, Household,Tin,5,6,5, No Tax, exclusive,,,,,,,,
6034000002621,BLUE BAND SPREAD 450G, Household,Tin,4,5,5, No Tax, exclusive,,,,,,,,
5010338013905,BLUE DRAGON LIGHT SOY  SAUCE 150ML, Household,Tin,0,0,5, No Tax, exclusive,,,,,,,,
5010338013905,BLUE DRAGON LIGHT SOY SAUCE 150ML, Household,Tin,8.5,9,5, No Tax, exclusive,,,,,,,,
5010338014223,BLUE DRAGON OYSTER SAUCE 150ML, Household,Tin,15,17,5, No Tax, exclusive,,,,,,,,
5038896001011,BLUE SKIES MANGO N ORANGE, Household,Tin,6,7,5, No Tax, exclusive,,,,,,,,
5020535006228,BODY SCRUB 200ML, Household,Tin,11,12,5, No Tax, exclusive,,,,,,,,
4084500960213,BOLD 2 IN 1 5.33KG, Household,Tin,110,113,5, No Tax, exclusive,,,,,,,,
7896041169256,BON BEEF LUNCHEON MEAT 400G, Household,Tin,6,7,5, No Tax, exclusive,,,,,,,,
6034000004007,BORGER PEANUT SNACK, Household,Tin,9.5,10,5, No Tax, exclusive,,,,,,,,
